14:36:59 | __main__        | INFO     | 🎵 Now playing: FLOW - Colors
14:39:20 | __main__        | INFO     | 📊 Health Check: 6 guilds, 142 users, 1 playing
14:40:51 | __main__        | INFO     | 📭 Queue empty for guild 1252561974253064273
15:10:32 | __main__        | INFO     | 🚀 Starting Enhanced YouTube Music Bot v3.0...
15:10:32 | __main__        | INFO     | 🐍 Python: 3.13.7 (tags/v3.13.7:bcee1c3, Aug 14 2025, 14:15:11) [MSC v.1944 64 bit (AMD64)]
15:10:32 | __main__        | INFO     | 📦 Discord.py: 2.6.3
15:10:32 | __main__        | INFO     | 🎵 Starting bot connection...
15:10:33 | __main__        | INFO     | 🚀 Starting Enhanced YouTube Music Bot v3.0...
15:10:33 | __main__        | INFO     | ✅ Database initialized successfully with enhanced schema
15:10:33 | __main__        | ERROR    | ❌ Failed to load config for guild 1252561974253064273: '128k' is not a valid AudioQuality
15:10:33 | __main__        | INFO     | ✅ Loaded 0 server configurations
15:10:34 | __main__        | INFO     | ✅ Synced 12 slash commands
15:10:34 | __main__        | INFO     | ✅ Bot setup completed successfully in 1.72s
15:10:38 | __main__        | INFO     | ============================================================
15:10:38 | __main__        | INFO     | 🎵 Enhanced Music Bot v3.0 is ready!
15:10:38 | __main__        | INFO     | 📊 Bot: ALL-FaraSong#9890 (ID: 1193773719219347506)
15:10:38 | __main__        | INFO     | 🌐 Connected to 6 guilds
15:10:38 | __main__        | INFO     | 👥 Serving 142 users
15:10:38 | __main__        | INFO     | ============================================================
15:10:53 | __main__        | INFO     | 🎵 Play request: 'https://youtu.be/I1YwnCtCp3Q?feature=shared' by Sleepless
15:10:53 | __main__        | INFO     | 🔗 Processing YouTube URL: https://youtu.be/I1YwnCtCp3Q?feature=shared
15:11:03 | __main__        | INFO     | ✅ Successfully extracted track: Faye Peraya - เติมคำว่า"รัก"ลงในช่องว่าง (OFFICIAL MV)
15:11:03 | __main__        | INFO     | ✅ Added track to queue: Faye Peraya - เติมคำว่า"รัก"ลงในช่องว่าง (OFFICIAL MV)
15:11:04 | __main__        | INFO     | 🎵 Starting playback for guild 1252561974253064273
15:11:04 | __main__        | INFO     | 🎵 Now playing: Faye Peraya - เติมคำว่า"รัก"ลงในช่องว่าง (OFFICIAL MV)
15:12:03 | __main__        | INFO     | 🎵 Play request: 'https://youtu.be/3YfFLTbFDzk?feature=shared' by Sleepless
15:12:03 | __main__        | INFO     | 🔗 Processing YouTube URL: https://youtu.be/3YfFLTbFDzk?feature=shared
15:12:10 | __main__        | INFO     | ✅ Successfully extracted track: AAA - Still Love You [Stage Mix]
15:12:10 | __main__        | INFO     | ✅ Added track to queue: AAA - Still Love You [Stage Mix]
15:12:23 | __main__        | INFO     | 🎵 Play request: 'https://youtu.be/c6rKeKsTfjU?feature=shared' by Sleepless
15:12:23 | __main__        | INFO     | 🔗 Processing YouTube URL: https://youtu.be/c6rKeKsTfjU?feature=shared
15:12:29 | __main__        | INFO     | ✅ Successfully extracted track: AAA - I'll be there [Stage Mix]
15:12:29 | __main__        | INFO     | ✅ Added track to queue: AAA - I'll be there [Stage Mix]
15:14:47 | __main__        | INFO     | 🎵 Starting playback for guild 1252561974253064273
15:14:47 | __main__        | INFO     | 🎵 Now playing: AAA - Still Love You [Stage Mix]
15:15:33 | __main__        | INFO     | 📊 Health Check: 6 guilds, 142 users, 1 playing
